Table 1
Farmacia;Nombre fantasía;RUT;RUT_SDV;Rut destinatario;Pais;Región;Comuna;Dirección;Telefono_fijo;Latitud;Longitud;Tipo;Horario;Proceso evaluacion;Venta Online;Despacho;Pagina Web
FARMACIAS LA BOTIKA LOCAL 13;Farmacia La Botika;76167832-9;76167832;203725;Chile;Región Metropolitana de Santiago;Quinta Normal;José Joaquin Perez N°6094-6098;229190972;-33,4308214;-70,720122;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIAS LA BOTIKA LOCAL 8;Farmacia La Botika;76167832-9;76167832;;Chile;Región Metropolitana de Santiago;San Miguel;La Serena N°7987 Local B;229190972;-33,487687;-70,652074;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIAS LA BOTIKA LOCAL 7;Farmacia La Botika;76167832-9;76167832;;Chile;Región Metropolitana de Santiago;Lo Barnechea;Lo Barnechea N°840-A;229190972;-33,358530;-70,506170;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIAS LA BOTIKA LOCAL 3;Farmacia La Botika;12262093-K;12262093;;Chile;Región Metropolitana de Santiago;San Joaquin;Lo Ovalle N°347-A;*Sin Información;-33,517870;-70,629020;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIAS LA BOTIKA LOCAL 14;Farmacia La Botika;76167832-9;76167832;;Chile;Región Metropolitana de Santiago;Peñalolén;Los Molineros N°1720 Local 1;229190972;-33,470610;-70,568494;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIAS LA BOTIKA LOCAL 9;Farmacia La Botika;76167832-9;76167832;203631;Chile;Región Metropolitana de Santiago;Maipú;Tres Poniente N°2600, Local 11;229190972;-33,504330;-70,780220;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA LA PALMILLA;Farmacia La Palmilla;6369306-5;6369306;;Chile;Región Metropolitana de Santiago;Conchalí;Pedro Fontova 5102;226249901;-33,379990;-70,672950;Farmacia Independiente;Lunes a Sábado de 10:00 a 13:00 horas y de 17:00 a 21:00 horas;PENDIENTE;0;;
FARMACIAS LA REBAJA;Farmacia La Rebaja;76949835-4;76949835;203515;Chile;IV Región de Coquimbo;La Serena;Av. Cuatro Esquinas 1540. Strip Center El Milagro, Local 8;512784814;-29,943870;-71,243680;Farmacia Independiente;Lunes a Domingo de 09:00 a 22:00 horas;CONVENIO FIRMADO;0;;
FARMACIA LA URGENCIA;Farmacia La Urgencia;7282565-9;7282565;;Chile;Región Metropolitana de Santiago;Independencia;Independencia 299. Comuna De Independencia;227354734;-33,428310;-70,653740;Farmacia Independiente;Lunes a Viernes de 10:30 a 18:30 horas;CONVENIO FIRMADO;0;;
FARMACIA LAHUEN SPA;Farmacia Lahuen;76887011-k;76887011;203400;Chile;IX Región de La Araucanía;Vilcún;Arturo Prat 394;*Sin Información;-38,669950;-72,224410;Farmacia Independiente;Lunes a Viernes de 09:00 a 20:30 horas y Sábado de 10:00 a 20:30 horas;CONVENIO FIRMADO;0;;
FARMACIA LAS CRUCES;Farmacia Las Cruces;5865393-4;5865393;;Chile;V Región de Valparaíso;El Tabo;Av Errazuriz 182;352431224;-33,499680;-71,616060;Farmacia Independiente;Lunes a Domingo (incluyendo festivos) de 10:30 a 14:00 horas y de 16:30 a 20:30 horas;EN PROCESO DE FIRMA;0;;
FARMACIA LAS TORRES;Farmacia Las Torres;14272182-1;14272182;;Chile;Región Metropolitana de Santiago;Cerro Navia;Jose Joaquin Perez 6915A;*Sin Información;-33,428940;-70,730956;Farmacia Independiente;Lunes a Domingo de 10:00 a 22:00 horas;EN PROCESO DE FIRMA;0;;
FARMACIA LEÓN;Farmacia León;76749864-0;76749864;;Chile;VI Región del Libertador General Bernardo O’Higgins;Machalí;Arturo Prat #21 Local 4;*Sin Información;-34,179820;-70,653180;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIAS Y DROGUERIA LEST LIMITADA;Farmacia Lest;77439330-7;77439330;203517;Chile;VIII Región del Biobío;Concepción;Barros Arana N° 289;*Sin Información;-36,828420;-73,055150;Farmacia Independiente;Lunes a Viernes de 09:00 a 21:00 horas y Sábado de 09:00 a 15:00 horas;EN PROCESO DE FIRMA;0;;
LINCE LABS SPA;Farmacia Lince Labs;76253015-5;76253015;;Chile;Región Metropolitana de Santiago;Providencia;Condell 679;227065740;-33,441580;-70,627420;Farmacia Independiente;Lunes a Viernes de 09:00 a 18:00 horas;PENDIENTE;0;;
FARMACIA LOS ANDES LOCAL N°2;Farmacia Los Andes Local N°2;76650816-2;76650816;;Chile;Región Metropolitana de Santiago;Independencia;Avenida Independencia 510;*Sin Información;-33,425190;-70,654930;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIA LOS MAQUI;Farmacia Los Maqui;53319320-k;53319320;;Chile;Región Metropolitana de Santiago;Padre Hurtado;Segunda Avenida 749;228114327;-33,562010;-70,795020;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA LOS ORIENTALES;Farmacia Los Orientales;76217221-6;76217221;;Chile;Región Metropolitana de Santiago;Peñalolén;Avenida Oriental 7179;232026888;-33,468160;-70,556650;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA LOS ROBLES SPA;Farmacia Los Robles;76925379-3;76925379;;Chile;Región Metropolitana de Santiago;San Bernardo;Covadonga 366;*Sin Información;-33,594870;-70,702700;Farmacia Independiente;Lunes a Viernes de 08:00 a 21:00 horas y Sábado de 09:00 a 21:00 horas;CONVENIO FIRMADO;0;;
FARMACIA M&M;Farmacia M&M;2909977-4;2909977;;Chile;XV Región de Arica y Parinacota;Arica;Tucapel 2119-4;*Sin Información;-18,477900;-70,293010;Farmacia Independiente;Lunes a Sábado de 09:00 a 13:30 horas y de 17:00 a 22:30 horas;PENDIENTE;0;;
Farmacia Machalí;Farmacia Machalí;21694070-9;21694070;203370;Chile;VI Región del Libertador General Bernardo O’Higgins;Machalí;Arturo Prat 116 Local 101B;722530051;-34,178530;-70,652380;Farmacia Independiente;Lunes a Sábado de 09:00 a 15:00 horas y de 16:30 a 22:30 horas y Domingo de 10:00 a 15:00 horas y de 16:30 a 21:30 horas;CONVENIO FIRMADO;0;;
FARMACIAS MANANTIALES SPA;Farmacia Manantiales;76995481-3;76995481;203372;Chile;VI Región del Libertador General Bernardo O’Higgins;Malloa;Pza De Armas, 119, Malloa;*Sin Información;-34,442140;-70,944080;Farmacia Independiente;Lunes a Sábado de 09:00 a 14:30 horas y de 16:30 a 23:00 horas y Domingo de 10:00 a 14:30 horas y de 16:30 a 23:00 horas;CONVENIO FIRMADO;0;;
FARMACIA MAPUCHE MAKELAWEN;Farmacia Mapuche Makelawen;99526840-K;99526840;;Chile;Región Metropolitana de Santiago;Santiago;San Antonio 228;224063772;-33,440139;-70,648128;Farmacia Independiente;Lunes a Viernes de 09:30 a 19:00 Horas y Sábado de 11:30 a 14:00 horas;PENDIENTE;0;;
mas salud;Farmacia Más Salud;76987526-3;76987526;203363;Chile;XV Región de Arica y Parinacota;Arica;Av.Las Torres 2662 Pob.Cabo Aroca;224175585;-18,484720;-70,282880;Farmacia Independiente;Lunes a Sábado de 09:00 a 22:00 horas y Sábado de 10:00 a 22:00 horas;EN PROCESO DE FIRMA;0;;
FARMACIA MEJOR SALUD MACHALI;Farmacia Mejor Salud;76259396-3;76259396;203371;Chile;VI Región del Libertador General Bernardo O’Higgins;Machalí;Camino Las Rosas N5 Local 1;722279440;-34,171100;-70,681620;Farmacia Independiente;Lunes a Sábado de 10:00 a 14:00 y de 15:00 a 21:00 horas y Domingo de 11:00 a 14:00 horas y de 15:00 a 21:00 horas;CONVENIO FIRMADO;0;;
FARMACIA MIMIZA;Farmacia Mimiza;10974259-7;10974259;;Chile;VII Región del Maule;Villa Alegre;Abate Molina 672;732382328;-35,589360;-71,723300;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIA MONTT;Farmacia Montt;76299666-9;76299666;203561;Chile;Región Metropolitana de Santiago;Buin;Balmaceda 353 Local N°4;983616654;-33,732699;-70,740526;Farmacia Independiente;Lunes a Viernes de 08:00 a 22:00 horas;CONVENIO FIRMADO;0;;
MYM;Farmacia Mym;76071207-8;76071207;;Chile;VI Región del Libertador General Bernardo O’Higgins;Chimbarongo;Carmen Larrain 42;722782590;-34,708290;-71,042890;Farmacia Independiente;Lunes a Sábado de 09:00 a 23:00 horas y Domingo (incluyendo festivos) de de 10:00 a 23:00 horas ;PENDIENTE;0;;
FARMACIA NATURLND;Farmacia Naturlnd;76179560-0;76179560;;Chile;Región Metropolitana de Santiago;Las Condes;Padre Hurtado Sur 875 Loc Bf 1465 Y 1469;*Sin Información;-33,415530;-70,540250;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIA NOBEL LTDA;Farmacia Nobel;76016727-1;76016727;;Chile;Región Metropolitana de Santiago;Santiago;Avda Matta 696;225561159;-33,458540;-70,643090;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA NOVAVITA;Farmacia Novavita;76827747-8;76827747;;Chile;I Región de Tarapacá;Iquique;Patricio Lynch 426;572226254;-20,212720;-70,151320;Farmacia Independiente;Lunes a Viernes de 08:00 a 19:00 horas y Sábado de 10:00 a 14:00 horas;CONVENIO FIRMADO;0;;
Farmacia Nueva Bogotá;Farmacia Nueva Bogotá;6349154-3;6349154;203419;Chile;Región Metropolitana de Santiago;Santiago;Lira 1784;225518763;-33,4678775;-70,6332793;Farmacia Independiente;Lunes a Domingo de 08:30 a 21:30 horas;CONVENIO FIRMADO;0;;
FARMACIA NUEVA CENTRAL E.I.R.L.;Farmacia Nueva Central;76123192-8;76123192;203380;Chile;IV Región de Coquimbo;Combarbalá;Comercio 272, Combarbalá;532741677;-31,177170;-71,002680;Farmacia Independiente;Lunes a Sábado de 10:00 a 00:00 horas;CONVENIO FIRMADO;0;;
NUEVA FRANCESSA;Farmacia Nueva Francesa;78838880-2;78838880;203518;Chile;VII Región del Maule;Linares;Independencia 794;732210227;-35,847460;-71,593960;Farmacia Independiente;Lunes a Domingo de 10:00 a 20:00 horas;CONVENIO FIRMADO;0;;
FARMACIA NUEVA REAL 6;Farmacia Nueva Real;9008288-4;9008288;;Chile;Región Metropolitana de Santiago;Colina;Av Concepcion 86-A;442991880;-33,204550;-70,676520;Farmacia Independiente;Lunes a Viernes de 10:00 a 20:00 horas;CONVENIO FIRMADO;0;;
FARMACIA NUEVA REAL;Farmacia Nueva Real;9008288-4;9008288;203332;Chile;Región Metropolitana de Santiago;Conchalí;Baron De Juras Reales 4011-B;227342251;-33,393610;-70,682330;Farmacia Independiente;Lunes a Viernes de 10:00 a 20:00 horas;CONVENIO FIRMADO;0;;
FARMACIA NUEVA REAL 4;Farmacia Nueva Real;9008288-4;9008288;;Chile;Región Metropolitana de Santiago;Conchalí;Av Independencia 3965-B;232909604;-33,391400;-70,674560;Farmacia Independiente;Lunes a Viernes de 10:00 a 20:00 horas;CONVENIO FIRMADO;0;;
FARMACIA NUEVA REAL 2;Farmacia Nueva Real;9008288-4;9008288;203330;Chile;Región Metropolitana de Santiago;Quilicura;Av Ohiggins 276;226037395;-33,358100;-70,729210;Farmacia Independiente;Lunes a Viernes de 10:00 a 20:00 horas;CONVENIO FIRMADO;0;;
FARMACIA NUEVA REAL 7;Farmacia Nueva Real;9008288-4;9008288;;Chile;Región Metropolitana de Santiago;Quilicura;Av Las Torres 306;233403948;-33,379420;-70,726930;Farmacia Independiente;Lunes a Viernes de 10:00 a 20:00 horas;CONVENIO FIRMADO;0;;
FARMACIAS OFTALMIKA;Farmacia Oftalmika;7314407-8;7314407;203329;Chile;Región Metropolitana de Santiago;Providencia;Los Leones 419;*Sin Información;-33,423530;-70,604630;Farmacia Independiente;Lunes a Viernes de 10:00 a 19:00 horas;CONVENIO FIRMADO;0;;
"FARMACIA O""HIGGINAS";Farmacia O'Higgins;7728378-1;7728378;;Chile;IX Región de La Araucanía;Lautaro;O'Higgins 916;*Sin Información;-38,635036;-72,447159;Farmacia Independiente;Lunes a Sábado de 09:00 a 22:00 horas y Domingo de 10:00 a 14:00 horas y de 16:00 a 20:30 horas;EN PROCESO DE FIRMA;0;;
FARMACIA OPENFARMA;Farmacia Openfarma;77100454-7;77100454;203766;Chile;Región Metropolitana de Santiago;Santiago;San Francisco 581;232559092;-33,4518359;-70,6468249;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
OSM LTDA.;Farmacia Osm;77683190-5;77683190;;Chile;Región Metropolitana de Santiago;La Reina;Clorinda Henríquez 80;227891356;-33,451940;-70,558464;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA OUTLETFARMA;Farmacia Outletfarma;76947781-0;76947781;;Chile;V Región de Valparaíso;Quillota;Ariztia 220 Local 6;56332500553;-32,876870;-71,240230;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA PARADA;Farmacia Parada;76765003-5;76765003;203695;Chile;VII Región del Maule;Linares;Maipu 419, Local 8;732472249;-35,847470;-71,597560;Farmacia Independiente;Lunes a Jueves de 10:00 a 20:00 horas, Viernes de 10:00 a 20:00 horas y Sábado de 09:00 a 14:00 horas;CONVENIO FIRMADO;0;;
FARMACIA PARIS;Farmacia Paris;7732024-5;7732024;;Chile;IX Región de La Araucanía;Gorbea;Lord Cochrane 600;452492048;-39,102340;-72,674010;Farmacia Independiente;Lunes a Sábado de 09:00 a 13:30 horas y de 15:00 a 20:00 horas y Domingo (incluyendo festivos) de 11:00 a 14:00;PENDIENTE;0;;
FARMACIA PLAZA;Farmacia Plaza;7693110-0;7693110;203378;Chile;XIV Región de Los Ríos;Valdivia;Ohiggins 367;632422244;-39,812470;-73,245880;Farmacia Independiente;Lunes a Sábado de 09:00 a 13:00 horas y de 15:00 a 20:00 horas y Domingo de 11:00 a 13:00 horas y de 16:00 a 21:00 horas;CONVENIO FIRMADO;0;;
FARMACIA PORTUS;Farmacia Portus;79859590-3;79859590;;Chile;VIII Región del Biobío;Talcahuano;Las Lilas 16;412580032;-36,757190;-73,090300;Farmacia Independiente;Lunes a Sábado de 10:30 a 22:30 horas y Domingo (incluyendo festivos) de 11:00 a 14:30;CONVENIO FIRMADO;0;;
FARMACIA PRAT;Farmacia Prat;80752500-k;80752500;203462;Chile;XIV Región de Los Ríos;Valdivia;Letelier #236;632278204;-39,813670;-73,245850;Farmacia Independiente;Lunes a Viernes de 9:30 a 14:00 horas y de 15:00 a 17:00 horas y Sábado de 09:30 a 13:30 horas;CONVENIO FIRMADO;0;;
FARMACIA PRINCIPAL;Farmacia Principal;76033408-1;76033408;;Chile;VI Región del Libertador General Bernardo O’Higgins;Chimbarongo;Miraflores 497;722782311;-34,706380;-71,042360;Farmacia Independiente;Lunes a Sábado de 08:30 a 23:00 horas y Domingo (incluyendo festivos) de 09:000 a 23:00 horas;PENDIENTE;0;;
FARMACIA PRINCIPAL;Farmacia Principal;76033094-9;76033094;;Chile;VI Región del Libertador General Bernardo O’Higgins;Nancagua;Armando Jaramillo 161;722859473;-34,651320;-71,204690;Farmacia Independiente;Lunes a Sábado de 09:00 a 21:30 horas y Domingo (incluyendo festivos) de 10:00 a 14:00 horas;PENDIENTE;0;;
FARMACIA PRINCIPAL;Farmacia Principal;83975800-6;83975800;203638;Chile;Región Metropolitana de Santiago;Maipú;Chacabuco 50 Local 2;225314668;-33,509180;-70,758130;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA PRINCIPAL LOCAL 2;Farmacia Principal;83975800-6;83975800;203783;Chile;Región Metropolitana de Santiago;Maipú;Cinco De Abril N°176, Local 10;225314668;-33,510970;-70,761270;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA PRINCIPAL LOCAL 3;Farmacia Principal;83975800-6;83975800;203784;Chile;Región Metropolitana de Santiago;Maipú;Avda Esquina Blanca N°0261, Local 4;225314668;-33,510866;-70,754771;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA PROSALUD E.I.R.L;Farmacia Prosalud;76470019-8;76470019;;Chile;II Región de Antofagasta;Antofagasta;Bolivar 598;552554262;-23,647270;-70,394950;Farmacia Independiente;Lunes a Viernes de 09:00 a 21:00 horas y Sábado de 10:00 a 20:00 horas;PENDIENTE;0;;
Farmacia Pudahuel;Farmacia Pudahuel;76920999-9;76920999;203348;Chile;Región Metropolitana de Santiago;Estación Central;Alameda Bernado O´Higgins 6036-B;413240953;-33,458010;-70,706880;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA PUNTO BLANCO N3 LA SERENA;Farmacia Punto Blanco;9795168-3;9795168;;Chile;IV Región de Coquimbo;La Serena;Huanhuali 501;*Sin Información;-29,915090;-71,252380;Farmacia Independiente;Lunes a Viernes de 09:00 a 21:00 horas y Sábado de 10:00 a 20:00 horas;CONVENIO FIRMADO;0;;
FARMACIA PUNTO BLANCO;Farmacia Punto Blanco;9795168-3;9795168;;Chile;IV Región de Coquimbo;La Serena;Esmeralda 2399, Las Compañias;*Sin Información;-29,877770;-71,246042;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA PUNTO BLANCO N4 OVALLE;Farmacia Punto Blanco;9795168-3;9795168;;Chile;IV Región de Coquimbo;Ovalle;Vicuna Mackenna 212;*Sin Información;-30,603160;-71,201110;Farmacia Independiente;Lunes a Sábado de 09:00 a 21:00 horas;CONVENIO FIRMADO;0;;
FARMACIA REDFARMA 104;Farmacia Redfarma 104;8233704-0;8233704;;Chile;X Región de Los Lagos;Quinchao;Arturo Prat No. 046;(65) 2661101;-42,469485;-73,489690;Farmacia Independiente;Lunes a Viernes de 09:00 a 21:00 horas y Sábado de 09:00 a 20:00 horas;PENDIENTE;0;;
FARMACIA REPÚBLICA;Farmacia República;7140420-K;7140420;203700;Chile;X Región de Los Lagos;Osorno;República 440;642249523;-40,573880;-73,151850;Farmacia Independiente;Lunes a Sábado de 09:00 a 21:00 horas y Domingo de 10:00 a 14:00 horas;CONVENIO FIRMADO;0;;
FARMACIA REPUBLICA 2;Farmacia República;7140420-K;7140420;;Chile;X Región de Los Lagos;Osorno;Calle Real 1294-B;211763;-40,581950;-73,162240;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA ROESAR;Farmacia Roesar;3937474-9;3937474;;Chile;Región Metropolitana de Santiago;Providencia;Pio Nono 165;227329848;-33,432546;-70,635825;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA RYC;Farmacia Ryc;6976274-3;6976274;;Chile;Región Metropolitana de Santiago;Ñuñoa;Capitán Ignacio Carrera Pinto 3777 Local 2;222721910;-33,470680;-70,591420;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIA SALEM;Farmacia Salem;76123708-K;76123708;;Chile;V Región de Valparaíso;El Quisco;Av. Isidoro Dubournais 0830 Local 21-A El Quisco;*Sin Información;-33,380500;-71,686260;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA SALUD;Farmacia Salud;76847365-k;76847365;;Chile;VIII Región del Biobío;Tucapel;Arturo Pratt 499;*Sin Información;-37,242020;-71,941750;Farmacia Independiente;Lunes a Sábado de 10:00 a 13:00 horas y de 15:00 a 20:00 horas;CONVENIO FIRMADO;0;;
SAN ENRIQUE;Farmacia San Enrique;9061696-K;9061696;;Chile;V Región de Valparaíso;San Antonio;Av. Centenario 67;352216791;-33,580920;-71,614360;Farmacia Independiente;Lunes a Viernes de09:00 a 20:30 horas y Sábado de 10:00 a 20:30 horas;EN PROCESO DE FIRMA;0;;
FARMACIA SAN JAVIER;Farmacia San Javier;76211539-5;76211539;;Chile;V Región de Valparaíso;Viña Del Mar;El Membrillo #3750, Miraflores Alto;322646625;-33,020760;-71,515620;Farmacia Independiente;Lunes a Domingo de 09:00 a 20:15 horas;EN PROCESO DE FIRMA;0;;
FARMACIA SAN JUAN;Farmacia San Juan;96519490-8;96519490;203928;Chile;Región Metropolitana de Santiago;Peñaflor;21 De Mayo 4555 Local C Y D;228120568;-33,6093451;-70,901123;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIA SAN MIGUEL;Farmacia San Miguel;14055547-9;14055547;203416;Chile;VII Región del Maule;Cauquenes;Victoria 611;976203989;-35,967610;-72,318460;Farmacia Independiente;Lunes a Sábado de 09:00 a 13:00 horas y de 14:00 a 20:00 horas;CONVENIO FIRMADO;0;;
FARMACIA SAN MIGUEL;Farmacia San Miguel;14055547-9;14055547;;Chile;VII Región del Maule;Constitución;Freire 632 Local 3;*Sin Información;-35,332380;-72,410705;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA SAN MIGUEL;Farmacia San Miguel;14055547-9;14055547;;Chile;VII Región del Maule;Linares;Brasil 601;*Sin Información;-35,846230;-71,590970;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA SAN PABLO;Farmacia San Pablo;76400207-5;76400207;;Chile;V Región de Valparaíso;El Tabo;Av. Las Salinas 610;352432153;-33,494020;-71,626290;Farmacia Independiente;Lunes a Sábado de 10:00 a 21:00 horas y Domingo (incluyendo festivos) de 10:00 a 15:00 horas;PENDIENTE;0;;
ANUAR SALEH AUAD FARMACIA SANTAGEMITA;Farmacia Santa Gemita;4746584-2;4746584;;Chile;Región Metropolitana de Santiago;Ñuñoa;Irarrazaval 2993;223410241;-33,454900;-70,599910;Farmacia Independiente;Lunes a Sábado de 09:00 a 20:30 horas;CONVENIO FIRMADO;0;;
ABEN SOCIEDAD DE INVERCIONES Y LABORATORIO INTERNACIONAL LTDA;Farmacia Santa Gemita;79911200-0;79911200;;Chile;Región Metropolitana de Santiago;Ñuñoa;Irarrazaval 3006;222048216;-33,454410;-70,599780;Farmacia Independiente;Lunes a Domingo de 09:30 a 20:30 horas;CONVENIO FIRMADO;0;;
ABEN SOCIEDAD DE INVERCIONES Y LABORATORIO INTERNACIONAL LTDA;Farmacia Santa Gemita;79911200-0;79911200;;Chile;Región Metropolitana de Santiago;Santiago;Libertador Bernardo O´Higgins 1138;2226972830;-33,444480;-70,652080;Farmacia Independiente;Lunes a Viernes de 10:00 a 20:00 horas;CONVENIO FIRMADO;0;;
SANTAGEMITA DUEÑO ANUAR SALEH AUAD;Farmacia Santa Gemita;4746584-2;4746584;203328;Chile;Región Metropolitana de Santiago;Santiago;Portugal 44;222229212;-33,441360;-70,639180;Farmacia Independiente;Lunes a Sábado de 09:00 a 22:00 horas;CONVENIO FIRMADO;0;;
ABEN SOCIEDAD DE INVERCIONES Y LABORATORIO INTERNACIONAL LTDA;Farmacia Santa Gemita;79911200-0;79911200;203354;Chile;Región Metropolitana de Santiago;Santiago;Jose Pedro Alessandri 80;*Sin Información;-33,455580;-70,597130;Farmacia Independiente;Lunes a Viernes de 09:30 a 13:00 horas y de 15:00 a 20:00 horas y Sábado de 10:00 a 14:00 horas;CONVENIO FIRMADO;0;;
FARMACIA SANTA ROSA LOS ANDES;Farmacia Santa Rosa;80089000-4;80089000;203362;Chile;V Región de Valparaíso;Los Andes;Ohiggins 298;*Sin Información;-32,834490;-70,597730;Farmacia Independiente;Lunes a Sabádo de 09:00 a 13:00 horas;CONVENIO FIRMADO;0;;
FARMACIA SANTA TERESITA;Farmacia Santa Teresita;7409209-8;7409209;;Chile;Región Metropolitana de Santiago;Recoleta;Av. Los Zapadores 608;226224007;-33,390850;-70,642740;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
SIBONEY;Farmacia Siboney;5450703-8;5450703;;Chile;Región Metropolitana de Santiago;Santiago;Avda Matta 1538;225516957;-33,460600;-70,655740;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA SOCIAL CÍRCULO DE FUNCIONARIOS EN RETIRO SPA;Farmacia Social Círculo De Funcionarios En Retiro;76864285-0;76864285;203701;Chile;Región Metropolitana de Santiago;Santiago;José Toribio Medina 72;232839506;-33,444470;-70,664130;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
SOLUFAR LOCAL 1 HUECHURABA;Farmacia Solufar;76432943-0;76432943;203542;Chile;Región Metropolitana de Santiago;Huechuraba;Lequena N6683-C;223721487;-33,360000;-70,682730;Farmacia Independiente;Lunes a Viernes de 18:00 a 00:00 horas, Sábado de 11:00 a 14:30 horas y de 18:00 a 00:00 horas y Domingo de 11:00 a 14:30 horas;CONVENIO FIRMADO;0;;
SOLUFAR LOCAL 2 HUECHURABA;Farmacia Solufar;76432943-0;76432943;203542;Chile;Región Metropolitana de Santiago;Huechuraba;Pedro Fontova 7280 Local 103;222484110;-33,355690;-70,671390;Farmacia Independiente;Lunes a Domingo de 10:00 a 22:00 horas;CONVENIO FIRMADO;0;;
SOLUFAR LOCAL 3 LAMPA;Farmacia Solufar;76432943-0;76432943;203338;Chile;Región Metropolitana de Santiago;Lampa;Avellaneda 052;227936234;-33,326080;-70,752740;Farmacia Independiente;Lunes a Viernes de 10:00 a 22:00 horas y Sábado de 10:00 a 14:00 horas;CONVENIO FIRMADO;0;;
SOLUFAR;Farmacia Solufar;76432943-0;76432943;203542;Chile;Región Metropolitana de Santiago;Cerrillos;Los Almendros N°6199, Local B, C Y D;223721487;-33,491930;-70,714780;Farmacia Independiente;Lunes a Domingo de 09:00 a 15:00 horas y de 16:00 a 21:00 horas;CONVENIO FIRMADO;0;;
FARMACIA SUR;Farmacia Sur;7033330-9;7033330;203632;Chile;X Región de Los Lagos;Purranque;Pedro Montt 126;642351320;-40,912217;-73,160246;Farmacia Independiente;Lunes a Viernes de 09:00 a 13:00 horas y de 15:00 a 21:00 horas;CONVENIO FIRMADO;0;;
FARMACIA TALLON;Farmacia Tallon;76975042-8;76975042;203630;Chile;VII Región del Maule;San Clemente;Alejandro Cruz 124 Local 1;*Sin Información;-35,538100;-71,487180;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA TAMANACO;Farmacia Tamanaco;76165799-2;76165799;203355;Chile;V Región de Valparaíso;Calera;Aldunate 222;332222201;-32,788090;-71,190870;Farmacia Independiente;Lunes a Sábado de 09:30 a 21:30 y Domingo de 10:00 a 14:00 horas;CONVENIO FIRMADO;0;;
FARMACIA TANG;Farmacia Tang;5060761-5;5060761;;Chile;X Región de Los Lagos;Puerto Varas;San Jose 317;56652234577;-41,317340;-72,984550;Farmacia Independiente;Lunes a Sábado de 09:00 a 23:00 horas;PENDIENTE;0;;
FARMACIAS ROGERS MIGUEL PALMA CRUCES E.I.R.L.;Farmacia Telefarma;76801809-K;76801809;203376;Chile;VIII Región del Biobío;Chillán;Camino Colonia Bernardo Ohiggins 1541 Local 8;422557042;-36,587050;-72,076190;Farmacia Independiente;Lunes a Viernes de 10:30 a 20:30 horas y Sábado de 10:30 a 14:30 horas;CONVENIO FIRMADO;0;;
Farmacia Tolten;Farmacia Tolten;76370920-5;76370920;;Chile;IX Región de La Araucanía;Toltén;San Martin 548;452671790;-39,178640;-73,166760;Farmacia Independiente;Lunes a Viernes de 09:00: a 14:00 horas y de 16:00 a 19:00 horas y Sábado 09:30 a 14:00 horas;CONVENIO FIRMADO;0;;
FARMACIA TORRES;Farmacia Torres;7566918-6;7566918;;Chile;XIV Región de Los Ríos;Los Lagos;Balmaceda Sur Nº 047;56632461370;-39,863440;-72,813920;Farmacia Independiente;Lunes a Viernes de 09:00 a 22:30 horas y Sábado de 09:00 a 20:00 horas;PENDIENTE;0;;
